Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.no.vkp.observation.json	8558	-	0	0	0	0	0	0	15	86	0	0	1	0	0	0	0	0	0	0	95	100	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-vkp-performer-identifiers.codesystem.json	754	3	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	17	1481	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-vkp-subject-identifiers.codesystem.json	1035	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	17	63	0	0	0	1	0	0
fsh-generated/resources/Observation-blood-pressure-create.json	5720	3	0	0	1	0	1	0	1	359	0	0	0	0	0	0	0	0	0	0	30	32	0	0	0	0	0	0
fsh-generated/resources/Observation-body-height-create.json	1895	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0
fsh-generated/resources/Observation-body-mass-index-create.json	2009	2	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/Observation-heart-rate-create.json	3369	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	21	14	0	0	1	0	0	0
fsh-generated/resources/Observation-level-of-consciousness-create.json	1514	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Observation-news2-create.json	5213	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	21	30	0	0	0	0	0	0
fsh-generated/resources/Observation-respiratory-rate-create.json	4283	2	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	1
fsh-generated/resources/Observation-vkp-blood-pressure-profile-create.json	3429	2	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/Observation-vkp-body-temperature-create.json	1672	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Observation-vkp-body-weight-create.json	1453	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-vkp-glucose-create.json	1649	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-vkp-heartrate-create.json	1461	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/Observation-vkp-oxygen-saturation-create.json	1539	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-vkp-Observation-Bloodpressure.json	9078	4	0	175	0	0	0	0	0	1047	0	0	0	0	0	0	0	3	0	0	564	2233	0	0	0	36	1	3
fsh-generated/resources/StructureDefinition-vkp-Observation-Bodytemp.json	4537	2	0	76	1	0	0	0	1	63	0	0	1	0	0	0	0	0	0	0	319	915	0	0	0	22	0	1
fsh-generated/resources/StructureDefinition-vkp-Observation-Bodyweight.json	4532	2	0	74	0	0	0	0	0	42	0	0	0	0	0	0	0	1	0	0	346	628	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-vkp-Observation-Consciousness.json	4842	2	0	54	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	279	561	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-vkp-Observation-Heartrate.json	4519	2	0	57	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	282	678	0	0	0	22	0	2
fsh-generated/resources/StructureDefinition-vkp-Observation-NEWS2score.json	4864	2	0	47	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	237	454	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-vkp-Observation-Oxygensat.json	4527	2	0	52	0	0	0	0	0	38	0	0	1	0	0	0	0	1	0	0	288	827	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-vkp-Observation-Resprate.json	4536	2	0	55	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	295	595	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-vkp-Observation.json	5380	2	0	126	0	0	0	0	0	39	0	0	0	0	0	0	0	1	0	0	279	369	0	0	0	16	0	1
fsh-generated/resources/ValueSet-NoDomainVitalSignsBloodPressureMeasurementMethodValueSet.json	1660	2	0	0	1	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	11	322	0	0	0	1	0	0
fsh-generated/resources/ValueSet-NoDomainVitalSignsBloodpressureBodySiteValueSet.json	2718	2	0	0	0	0	0	0	1	133	0	0	0	0	0	0	0	0	0	0	13	197	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vkp-performer-identifiers.valueset.json	1214	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	50	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vkp-subject-identifiers.valueset.json	1176	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	58	0	0	0	0	0	0
